Row Labels,1,2,3,4,5,6,11,12,13,14,18,19,20,22,31,32,33,34,35,36,38,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,61,62,63,64,66,90,91,92,93,95,97,98,99,100,101,road
2017.guil.moniz.0,14,55,1,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,41,0,0,0,0,0,0
2017.serreta.0,0,63,0,39,0,0,0,0,0,0,0,7,0,0,4,14,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,15,27,8,1,5,0,0,6,13,0,0,0,0,0,1,0,15,28,0,2,0,1,3,0
2017.serreta.50,9,64,4,26,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,12,4,0,20,0,0,2,3,0,0,1,0,0,0,2,3,40,0,0,0,0,1,0
2017.serreta.250,4,63,0,41,0,0,0,0,0,0,0,27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,6,3,0,25,0,0,6,5,0,0,0,0,1,1,5,3,70,0,0,0,0,0,0
2017.serreta.Control 50,0,5,0,1,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,16,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,23,0,0
2017.mist.negros.0,7,37,1,51,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,2,0,0,0,0,0,0,0,0,7,21,0,0,20,4,0,0
2017.mist.negros.50,2,30,0,25,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,4,5,0,0,0,22,0,0
2017.mist.negros.250,7,41,4,32,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,51,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,18,0,0
2017.mist.negros.max,22,15,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,1,0,0,0,55,0,0
2017.mist.negros.control50,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,29,0,0,6,0,0,5,0,0,0,0,0,0,0,6,2,0,0,0,0,18,0,0
2017.malhadas.0,0,61,0,11,0,2,2,0,1,0,7,0,0,0,4,0,0,0,1,0,0,0,0,2,2,20,0,0,0,0,20,0,14,2,3,4,7,8,12,0,0,0,0,0,0,1,12,4,2,0,0,0,9,0,18
2017.malhadas.50,1,17,0,16,0,1,0,7,4,4,0,1,1,1,0,0,0,0,0,1,0,0,0,1,4,21,0,0,0,0,23,0,19,1,2,2,0,14,6,0,0,0,0,0,0,4,14,7,3,0,0,0,68,0,0
2017.malhadas.250,0,49,0,5,2,1,1,0,2,2,1,6,0,0,0,0,0,1,0,0,1,0,0,0,0,13,0,0,0,0,0,1,4,0,0,6,0,11,13,13,3,0,1,2,0,2,25,0,8,1,0,0,23,0,0
2017.malhadas.max,0,47,0,5,0,1,2,2,6,2,1,5,0,0,5,0,0,9,1,0,0,0,0,0,0,32,0,0,1,0,0,7,22,0,1,7,3,31,21,0,2,0,1,0,0,1,16,0,37,0,0,0,51,0,0