Variable;;eereer;erer
TAlphaAll.glmm.1;dfd;;
TAlphaNat.glmm.2;;;
TAlphaNInd.glmm.3;;;
TAlphaEnd.glmm.4;;;
FAlphaAll.glmm.5;;;
FAlphaNat.glmm.6;;;
FAlphaNInd.glmm.7;;;
FAlphaEnd.glmm.8;;;
FAlphaEnd.glmm.9;;;
abund.all.glmm.10;;;
abund.all.glmm.11;;;
abund.all.glmm.12;;;
abund.all.glmm.13;;;
abund.nat.glmm.14;;;
abund.end.glmm.15;;;
abund.nind.glmm.16;;;
prop.Talpha.glmm.17;;;
prop.Falpha.glmm.18;;;
prop.abund.glmm.19;;;
prop.end.glmm.20;;;
all.tax.btotal.glmm.21;;;
all.tax.brich.glmm.22;;;
all.tax.brepl.glmm.23;;;
all.tax.brepl.glmm.24;;;
nat.tax.btotal.glmm.25;;;
nat.tax.btotal.glmm.26;;;
nat.tax.brich.glmm.27;;;
nat.tax.brepl.glmm.28;;;
nat.tax.brepl.glmm.29;;;
nat.tax.brepl.glmm.30;;;
nind.tax.btotal.glmm.31;;;
nind.tax.btotal.glmm.32;;;
nind.tax.brich.glmm.33;;;
nind.tax.brepl.glmm.34;;;
end.tax.btotal.glmm.35;;;
end.tax.brich.glmm.36;;;
end.tax.brepl.glmm.37;;;
all.func.btotal.glmm.38;;;
all.func.btotal.glmm.39;;;
all.func.brich.glmm.40;;;
all.func.brich.glmm.41;;;
all.func.brepl.glmm.42;;;
nat.func.btotal.glmm.43;;;
nat.func.btotal.glmm.44;;;
nat.func.brich.glmm.45;;;
nat.func.brich.glmm.46;;;
nat.func.brich.glmm.47;;;
nat.func.brepl.glmm.48;;;
nind.func.btotal.glmm.49;;;
nind.func.btotal.glmm.50;;;
nind.func.btotal.glmm.51;;;
nind.func.brich.glmm.52;;;
nind.func.brich.glmm.53;;;
nind.func.brepl.glmm.54;;;
end.func.btotal.glmm.55;;;
end.func.btotal.glmm.56;;;
end.func.brich.glmm.57;;;
end.func.brich.glmm.58;;;
end.func.brepl.glmm.59;;;