,all.2017,all.2019,inv.2017,inv.2019,subtr.inv,percent.inv.2017,percent.inv.2019
2017.guil.moniz.0.1,4,9,0,0,0,0,0
2017.guil.moniz.0.2,5,5,1,0,-1,0.2,0
2017.guil.moniz.0.3,4,7,1,0,-1,0.25,0
2017.serreta .0.1,17,15,2,1,-1,0.117647059,0.066666667
2017.serreta .0.2,11,10,2,1,-1,0.181818182,0.1
2017.serreta .0.3,10,12,1,2,1,0.1,0.166666667
2017.serreta .50.1,11,12,2,0,-2,0.181818182,0
2017.serreta .50.2,6,11,0,1,1,0,0.090909091
2017.serreta .50.3,8,11,0,1,1,0,0.090909091
2017.serreta .250.1,10,9,0,0,0,0,0
2017.serreta .250.2,8,11,0,1,1,0,0.090909091
2017.serreta .250.3,9,9,1,1,0,0.111111111,0.111111111
2017.serreta .Control 50.2,11,13,0,1,1,0,0.076923077
2017.mist.negros.0.1,4,4,0,0,0,0,0
2017.mist.negros.0.2,6,7,0,1,1,0,0.142857143
2017.mist.negros.0.3,8,7,0,1,1,0,0.142857143
2017.mist.negros.50.1,4,8,0,1,1,0,0.125
2017.mist.negros.50.2,2,2,1,1,0,0.5,0.5
2017.mist.negros.50.3,5,4,0,0,0,0,0
2017.mist.negros.250.1,6,6,0,0,0,0,0
2017.mist.negros.250.2,4,5,0,0,0,0,0
2017.mist.negros.250.3,4,5,0,0,0,0,0
2017.mist.negros.max.1,2,3,0,0,0,0,0
2017.mist.negros.max.2,5,7,0,0,0,0,0
2017.mist.negros.max.3,5,6,0,0,0,0,0
2017.mist.negros.control50.2,9,8,0,0,0,0,0
2017.malhadas.0.1,19,,3,,,,
2017.malhadas.0.2,12,,2,,,,
2017.malhadas.0.3,4,,0,,,,
2017.malhadas.50.1.,15,,2,,,,
2017.malhadas.50.2,14,,3,,,,
2017.malhadas.50.3,11,,2,,,,
2017.malhadas.250.1,21,,4,,,,
2017.malhadas.250.2,9,,3,,,,
2017.malhadas.250.3,7,,2,,,,
2017.malhadas.max.1,20,,2,,,,
2017.malhadas.max.2,11,,2,,,,
2017.malhadas.max.3,14,,2,,,,
2017.malhadas.control50.2,13,,2,,,,